nrpn,POLY MOD PW ON/OFF,0,35,0,1,,,,,
nrpn,POLY MOD FILTER ON/OFF,0,36,0,1,,,,,
nrpn,VINTAGE,0,37,0,127,,,,,
nrpn,AFTERTOUCH > FILTER,0,38,0,1,,,,,
nrpn,AFTERTOUCH > AMP,0,39,0,1,,,,,
nrpn,ENV FILTER AMOUNT,0,40,0,120,,,,,
nrpn,VELOCTIY > FILTER,0,41,0,1,,,,,
nrpn,VELOCITY > AMP,0,42,0,1,,,,,
nrpn,ATTACK FILTER,0,43,0,120,,,,,
nrpn,ATTACK VCA,0,44,0,120,,,,,
nrpn,DECAY FILTER,0,45,0,120,,,,,
nrpn,DECAY VCA,0,46,0,120,,,,,
nrpn,SUSTAIN FILTER,0,47,0,120,,,,,
nrpn,SUSTAIN VCA,0,48,0,120,,,,,
nrpn,RELEASE FILTER,0,49,0,120,,,,,
nrpn,RELEASE VCA,0,50,0,120,,,,,
nrpn,RELEASE SWITCH,0,51,0,1,,,,,
nrpn,UNISON ON/OFF,0,52,0,1,,,,,
nrpn,UNISON VOICE COUNT,0,53,0,10,,,,,
nrpn,UNISON DETUNE,0,54,0,7,,,,,
nrpn,UNISON NOTE 1,0,55,1,10,,,,,
nrpn,UNISON NOTE 2,0,56,1,10,,,,,
nrpn,UNISON NOTE 3,0,57,1,10,,,,,
nrpn,UNISON NOTE 4,0,58,1,10,,,,,
nrpn,UNISON NOTE 5,0,59,1,10,,,,,
nrpn,UNISON NOTE 6,0,60,1,10,,,,,
nrpn,UNISON NOTE 7,0,61,1,10,,,,,
nrpn,UNISON NOTE 8,0,62,1,10,,,,,
nrpn,UNISON NOTE 9,0,63,1,10,,,,,
nrpn,UNISON NOTE 10,0,64,1,10,,,,,
nrpn,PITCH WHEEL RANGE,0,86,0,11,,,,,
nrpn,RETRIGGER AND UNISON,0,87,0,3,,,,,
nrpn,TRANSPOSE,32,0,0,24,,,,,
