1,Modulation Wheel,0,127
5,Glide,,
7,Headphone Volume,,
11,Expression Pedal,0,127
12,Distortion,,
13,Delay,,
14,Delay Time,,
15,Delay Feedback,,
16,Osc1 Wave,,
17,Osc2 Wave,,
18,Osc Mix,,
19,Osc-Mod Amount,,
20,Spread,,
22,FEG Attack,,
23,FEG Decay,,
24,FEG Sustain,,
25,FEG Release,,
26,AEG Attack,,
27,AEG Decay,,
28,AEG Sustain,,
29,AEG Release,,
30,Osc2 Coarse Detune,,
31,Osc2 Fine Detune,,
32,FEG Amount,0,63
33,Morph,,
34,Cutoff,,
35,Reso,,
36,LFO1 Rate,,
37,LFO1 Depth,0,63
39,LFO1 Shape,,
40,Octave,,
41,Osc-Mod Mode,,
43,MEG Attack,,
44,MEG Decay,,
45,MEG Sustain,,
46,MEG Release,,
47,LFO2 Rate,,
48,LFO2 Depth,0,63
50,LFO2 Shape,,
51,AEG Amount,0,63
52,LFO1 MIDI Sync,,
54,LFO2 MIDI Sync,,
55,Delay MIDI Sync,,
56,LFO1 Mode,,
57,LFO2 Mode,,
58,Arp Status,,
64,Sustain Pedal,,
73,Scale,0,7
79,Root Note,,
84,All Envelope Attack,,
85,All Envelope Decay,,
86,All Envelope Sustain,,
87,All Envelope Release,,
88,Mod Slot 1 Depth,0,63
89,Mod Slot 2 Depth,0,63
90,Mod Slot 3 Depth,0,63
91,Mod Slot 4 Depth,0,63
92,Mod Slot 5 Depth,0,63
93,Mod Slot 6 Depth,0,63
94,Mod Slot 7 Depth,0,63
95,Mod Slot 8 Depth,0,63
101,Mod Slot 1 Dest,0,36
102,Mod Slot 2 Dest,0,36
103,Mod Slot 3 Dest,0,36
104,Mod Slot 4 Dest,0,36
105,Mod Slot 5 Dest,0,36
106,Mod Slot 6 Dest,0,36
107,Mod Slot 7 Dest,0,36
108,Mod Slot 8 Dest,0,36
121,Randomise Patch,0,1
